user,text,latitude,longitude
_misterjam,b'@jaoromania ? absurdo mano! E ponto. em Cine Joia https://t.co/WfciaatAdc',-23.55342585,-46.6359827
KGFUNK68,"b'A.M.O.R. Pra car@l#o em S?o Paulo, Brazil https://t.co/uLhz2xnwJB'",-23.55,-46.6333
AndreRossanez,b'Todo talento de Gabily na festas dos 11 anis do Portal Pop Line\n\n#Gabily #PortalPopLine? https://t.co/5AgD61Lyv0',-23.55342585,-46.6359827
tavareesthais,"b'Voc? ? t?o insuport?vel, insuportavelmente? https://t.co/IzhCHutAdR'",-23.55,-46.6333
cledson_,"b'O Natal se aproxima e os ?nimos se inflamam em S?o Paulo, Brazil https://t.co/PacuI9kflY'",-23.55,-46.6333
carolaquino,"b'Romanos 8:15\n\n#AbaPai\n#eueraorfao \n#hojesoufilha \n#filhaAmada \n#igscompropositos em S?o Paulo,? https://t.co/ZeDFB18Faj'",-23.55,-46.6333
_laaterossi,b'? amor incondicional que fala n?? ? #boanoite #paz #amor #snapsave #lais #terossi #linda? https://t.co/AVHtGkgnUY',-23.55,-46.6333
JuniorMoons,"b""I'm at @DangerDanceClub in S?o Paulo, SP w/ @leandrobrito87 @viper_oficial https://t.co/vPRMcYAv7a""",-23.54606818,-46.64699574
chrisparentoni,b'pera?\nn?o entendi\ncomo q o jambu faz? em Mundo Pensante https://t.co/pTNp5hqOUF',-23.56030908,-46.64629698
ericobjork,b'Vient de publier une photo ? Club Jerome https://t.co/O0ibefYxz3',-23.5504256,-46.6589945
TrendsSaoPaulo,b'#fla122 ? tend?ncia em #S?oPaulo\n\nhttps://t.co/JS0ah3tJSa https://t.co/0Ltxetws8t',-23.5489,-46.6388
KGFUNK68,"b'Acabou de publicar uma foto em S?o Paulo, Brazil https://t.co/DZ75sBRptA'",-23.55,-46.6333
ValtinhoMF,b'Coisinhas do ? @tathy_alves amor real #poplinefaz11 em Cine Joia https://t.co/WyczQmLuYT',-23.55342585,-46.6359827
SpearsTarcisio,b'#Popline 11 anos em Festa VHS https://t.co/g7xFMgJhkt',-23.55334723,-46.6361057
ManchaNFL,b'(Deslize sobre a imagem para ver mais) Show de 25 anos da banda Tuba?na! em The Wall Caf? https://t.co/oJ6SOU5QNf',-23.55440944,-46.64705749
SandyLinhares,"b'E os parab?ns vai pra ele!! Felicidades meu amor, q Cristo habite em seu cora??ozinho sempre e? https://t.co/IKlvrT4JjM'",-23.55,-46.6333
DRINKMEYOONGI,b'~ tell me what to do ??\n-\n-\n-\n-\n-\n-\n-\n-\n-\n-\n-\n-\n-\n-\n- #unumfam -\n- #?? #??? #??? #??? #?? #??? https://t.co/5A3XebrGMN',-23.55,-46.6333
